,Restaurant Name,Url,Rating,Votes,Address,Source,Zip,check,new_zip
120,KC's Cafe,http://www.tripadvisor.in/Restaurant_Review-g34438-d3397221-Reviews-KC_s_Cafe-Miami_Florida.html,"868 of 3,600",1.0,"104 SE 1st Street, Miami, FL",TripAdvisor,"i, FL",False,
121,Jerry and Joe's Pizza,http://www.tripadvisor.in/Restaurant_Review-g34438-d5108197-Reviews-Jerry_and_Joe_s_Pizza-Miami_Florida.html,,,"9873 SW 184th St, Miami, FL 33157-6934",TripAdvisor,-6934,False,33157
122,Ten Fruits,http://www.tripadvisor.in/Restaurant_Review-g34438-d4829963-Reviews-Ten_Fruits-Miami_Florida.html,"252 of 3,600",7.0,"143 NE 3rd Ave, Miami, FL 33132",TripAdvisor,33132,True,33132
123,Habana Vieja Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d466625-Reviews-Habana_Vieja_Restaurant-Miami_Florida.html,"371 of 3,600",41.0,"3622 Coral Way, Miami, FL 33145-3015",TripAdvisor,-3015,False,33145
124,Little Caesars,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182044-Reviews-Little_Caesars-Miami_Florida.html,,,"8300 W Flagler St, Miami, FL 33144",TripAdvisor,33144,True,33144
125,McDonald's,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182109-Reviews-McDonald_s-Miami_Florida.html,"1,481 of 3,600",1.0,"13708 SW 152nd St, Miami, FL 33177",TripAdvisor,33177,True,33177
126,The District Miami,http://www.tripadvisor.in/Restaurant_Review-g34438-d5037220-Reviews-The_District_Miami-Miami_Florida.html,"1,012 of 3,600",17.0,"190 NE 46th Street, Buenavista Neighborhood, Miami, FL 33137",TripAdvisor,33137,True,33137
127,Bizcaya Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d495779-Reviews-Bizcaya_Restaurant-Miami_Florida.html,"473 of 3,600",12.0,"3300 SW 27th Avenue, The Ritz-Carlton Coconut Grove, Miami, FL 33133",TripAdvisor,33133,True,33133
128,Taco Rico,http://www.tripadvisor.in/Restaurant_Review-g34438-d4204371-Reviews-Taco_Rico-Miami_Florida.html,"575 of 3,600",4.0,"12275 S Dixie Hwy, Miami, FL 33156",TripAdvisor,33156,True,33156
129,Daddy's Grill,http://www.tripadvisor.in/Restaurant_Review-g34438-d4824726-Reviews-Daddy_s_Grill-Miami_Florida.html,,,"4680 West 17 Court, Hialeah, FL 33012, Miami, FL 33012",TripAdvisor,33012,True,33012
130,Las Reinas Del Cafe Corp,http://www.tripadvisor.in/Restaurant_Review-g34438-d4916679-Reviews-Las_Reinas_Del_Cafe_Corp-Miami_Florida.html,,,"12 NE 1st St, Miami, FL 33132-2402",TripAdvisor,-2402,False,33132
131,Off The Grille Bistro,http://www.tripadvisor.in/Restaurant_Review-g34438-d627236-Reviews-Off_The_Grille_Bistro-Miami_Florida.html,"343 of 3,600",21.0,"12578 North Kendall Drive, Miami, FL 33186",TripAdvisor,33186,True,33186
132,Jacalito Taqueria,http://www.tripadvisor.in/Restaurant_Review-g34438-d2227678-Reviews-Jacalito_Taqueria-Miami_Florida.html,"225 of 3,600",14.0,"3622 W Flagler St, Miami, FL 33135-1030",TripAdvisor,-1030,False,33135
133,2B Asian Bistro,http://www.tripadvisor.in/Restaurant_Review-g34438-d3983097-Reviews-2B_Asian_Bistro-Miami_Florida.html,"644 of 3,600",5.0,"1444 SW 8th Street, Miami, FL",TripAdvisor,"i, FL",False,
134,Starbucks,http://www.tripadvisor.in/Restaurant_Review-g34438-d4267919-Reviews-Starbucks-Miami_Florida.html,,,"2937 Biscayne Blvd, Miami, FL 33137",TripAdvisor,33137,True,33137
135,B & M Market,http://www.tripadvisor.in/Restaurant_Review-g34438-d4370563-Reviews-B_M_Market-Miami_Florida.html,"1,569 of 3,600",1.0,"219 Northeast 79th Street, Miami, FL 33138",TripAdvisor,33138,True,33138
136,Sobe Munchies,http://www.tripadvisor.in/Restaurant_Review-g34438-d3931626-Reviews-Sobe_Munchies-Miami_Florida.html,"1,505 of 3,600",2.0,"324 Lincoln Road, Miami, FL",TripAdvisor,"i, FL",False,
137,Strada in the Grove,http://www.tripadvisor.in/Restaurant_Review-g34438-d5421513-Reviews-Strada_in_the_Grove-Miami_Florida.html,"203 of 3,600",22.0,"3176 Comodore Plaza, Miami, FL 33143",TripAdvisor,33143,True,33143
138,Tutto Pizza Beer House,http://www.tripadvisor.in/Restaurant_Review-g34438-d3657527-Reviews-Tutto_Pizza_Beer_House-Miami_Florida.html,"1,160 of 3,600",7.0,"1763 SW 3rd Av, Miami FL 33129, Miami, FL",TripAdvisor,"i, FL",False,
139,Cayo Esquivel Seafood,http://www.tripadvisor.in/Restaurant_Review-g34438-d916108-Reviews-Cayo_Esquivel_Seafood-Miami_Florida.html,"972 of 3,600",18.0,"7725 Bird Rd, Miami, FL 33155-3546",TripAdvisor,-3546,False,33155
140,Chef Creole,http://www.tripadvisor.in/Restaurant_Review-g34438-d4192725-Reviews-Chef_Creole-Miami_Florida.html,,,"20356 NW 2nd Ave, Miami, FL 33169-2503",TripAdvisor,-2503,False,33169
141,Pasha's,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182262-Reviews-Pasha_s-Miami_Florida.html,"1,055 of 3,600",6.0,"1441 Brickell Ave, Miami, FL 33131",TripAdvisor,33131,True,33131
142,River Lounge,http://www.tripadvisor.in/Restaurant_Review-g34438-d5109068-Reviews-River_Lounge-Miami_Florida.html,,,"270 Biscayne Boulevard Way, Miami, FL 33131-2123",TripAdvisor,-2123,False,33131
143,BarMeli,http://www.tripadvisor.in/Restaurant_Review-g34438-d5999790-Reviews-BarMeli-Miami_Florida.html,"307 of 3,600",6.0,"725 NE 79th St, Miami, FL 33138",TripAdvisor,33138,True,33138
144,Tony Chan's Water Club,http://www.tripadvisor.in/Restaurant_Review-g34438-d465722-Reviews-Tony_Chan_s_Water_Club-Miami_Florida.html,"452 of 3,600",68.0,"1717 N Bayshore Dr ,#131, Miami, FL 33132-1195",TripAdvisor,-1195,False,33132
145,Las Nenas,http://www.tripadvisor.in/Restaurant_Review-g34438-d4192736-Reviews-Las_Nenas-Miami_Florida.html,,,"15512 SW 72nd St, Miami, FL 33193",TripAdvisor,33193,True,33193
146,KFC,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207912-Reviews-KFC-Miami_Florida.html,,,"12566 SW 120th St, Miami, FL 33186",TripAdvisor,33186,True,33186
147,Sharkeys Beer & Wine,http://www.tripadvisor.in/Restaurant_Review-g34438-d4928879-Reviews-Sharkeys_Beer_Wine-Miami_Florida.html,"625 of 3,600",4.0,"401 Biscayne Blvd., Miami, FL 33132",TripAdvisor,33132,True,33132
148,Papa John's,http://www.tripadvisor.in/Restaurant_Review-g34438-d4203000-Reviews-Papa_John_s-Miami_Florida.html,,,"20312 NW 2nd Ave, Miami, FL 33169",TripAdvisor,33169,True,33169
149,McDonald's,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182158-Reviews-McDonald_s-Miami_Florida.html,"1,230 of 3,600",2.0,"11500 N Kendall Dr, Miami, FL 33176",TripAdvisor,33176,True,33176
150,Delia It,http://www.tripadvisor.in/Restaurant_Review-g34438-d4192822-Reviews-Delia_It-Miami_Florida.html,,,"10802 NW 58th St, Miami, FL 33178-2854",TripAdvisor,-2854,False,33178
151,Rinconcito De Alex El Paisa,http://www.tripadvisor.in/Restaurant_Review-g34438-d4192784-Reviews-Rinconcito_De_Alex_El_Paisa-Miami_Florida.html,,,"13037 SW 112th St, Miami, FL 33186-4601",TripAdvisor,-4601,False,33186
152,La Casa De Las Baleadas,http://www.tripadvisor.in/Restaurant_Review-g34438-d5073575-Reviews-La_Casa_De_Las_Baleadas-Miami_Florida.html,,,"100 SW 17 Ave, Miami, FL 33125",TripAdvisor,33125,True,33125
153,Taco Bell,http://www.tripadvisor.in/Restaurant_Review-g34438-d5096703-Reviews-Taco_Bell-Miami_Florida.html,"942 of 3,600",1.0,"7745 SW 40TH Street, Miami, FL 33155",TripAdvisor,33155,True,33155
154,Jamaica Kitchen,http://www.tripadvisor.in/Restaurant_Review-g34438-d4201279-Reviews-Jamaica_Kitchen-Miami_Florida.html,"376 of 3,600",3.0,"8736 SW 72nd St, Miami, FL 33173",TripAdvisor,33173,True,33173
155,China Garden,http://www.tripadvisor.in/Restaurant_Review-g34438-d4194065-Reviews-China_Garden-Miami_Florida.html,,,"12165 SW 152nd St, Miami, FL 33177",TripAdvisor,33177,True,33177
156,Cayard's Bakery,http://www.tripadvisor.in/Restaurant_Review-g34438-d5099221-Reviews-Cayard_s_Bakery-Miami_Florida.html,,,"1699 NE 163rd St, Miami, FL 33162",TripAdvisor,33162,True,33162
157,Cabana 33,http://www.tripadvisor.in/Restaurant_Review-g34438-d4178116-Reviews-Cabana_33-Miami_Florida.html,,,"3300 SW 27th Avenue, The Ritz-Carlton Coconut Grove, Miami, FL 33133",TripAdvisor,33133,True,33133
158,Spris Pizza,http://www.tripadvisor.in/Restaurant_Review-g34438-d4942306-Reviews-Spris_Pizza-Miami_Florida.html,"1,206 of 3,600",5.0,"200 S. Biscayne Boulevard, Miami, FL 33131",TripAdvisor,33131,True,33131
159,China Express,http://www.tripadvisor.in/Restaurant_Review-g34438-d4194005-Reviews-China_Express-Miami_Florida.html,,,"5301 NE 2nd Ave, Miami, FL 33137",TripAdvisor,33137,True,33137
160,Andreotti Pasta Inc,http://www.tripadvisor.in/Restaurant_Review-g34438-d4204890-Reviews-Andreotti_Pasta_Inc-Miami_Florida.html,,,"6903 NE 3rd Ave, Miami, FL 33138",TripAdvisor,33138,True,33138
161,Mistura,http://www.tripadvisor.in/Restaurant_Review-g34438-d4261085-Reviews-Mistura-Miami_Florida.html,,,"Collins Al 7100, Miami, FL",TripAdvisor,"i, FL",False,
162,La Prtena Cafeteria,http://www.tripadvisor.in/Restaurant_Review-g34438-d4559945-Reviews-La_Prtena_Cafeteria-Miami_Florida.html,,,"1985 SW 8th St, Miami, FL 33135-3315",TripAdvisor,-3315,False,33135
163,Taco Rico,http://www.tripadvisor.in/Restaurant_Review-g34438-d1134966-Reviews-Taco_Rico-Miami_Florida.html,"649 of 3,600",10.0,"US 1, Miami, FL",TripAdvisor,"i, FL",False,
164,Chicago Pizza and Coffee Shop,http://www.tripadvisor.in/Restaurant_Review-g34438-d4193995-Reviews-Chicago_Pizza_and_Coffee_Shop-Miami_Florida.html,,,"639 SW 12th Ave, Miami, FL 33130",TripAdvisor,33130,True,33130
165,Mike's At Plaza Venetia,http://www.tripadvisor.in/Restaurant_Review-g34438-d910037-Reviews-Mike_s_At_Plaza_Venetia-Miami_Florida.html,"320 of 3,600",22.0,"555 NE 15TH St Ste 935, Miami, FL 33132-1455",TripAdvisor,-1455,False,33132
166,Pizza Cubana,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182414-Reviews-Pizza_Cubana-Miami_Florida.html,,,"9350 SW 40th St, Miami, FL 33165-4160",TripAdvisor,-4160,False,33165
167,American Cafeteria,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207935-Reviews-American_Cafeteria-Miami_Florida.html,,,"4850 NW 2nd Ave, Miami, FL 33127-2430",TripAdvisor,-2430,False,33127
168,Old World Pizza Miami,http://www.tripadvisor.in/Restaurant_Review-g34438-d4193446-Reviews-Old_World_Pizza_Miami-Miami_Florida.html,"1,314 of 3,600",1.0,"15794 SW 56th St, Miami, FL 33185",TripAdvisor,33185,True,33185
169,Epicentro Cafe,http://www.tripadvisor.in/Restaurant_Review-g34438-d5504845-Reviews-Epicentro_Cafe-Miami_Florida.html,,,"2660 SW 137th Ave, Miami, FL 33175",TripAdvisor,33175,True,33175
170,Subway,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182378-Reviews-Subway-Miami_Florida.html,,,"701 SW 27th Ave, Ste 701, Miami, FL 33135",TripAdvisor,33135,True,33135
171,Espanola Way,http://www.tripadvisor.in/Restaurant_Review-g34438-d4427149-Reviews-Espanola_Way-Miami_Florida.html,"245 of 3,600",18.0,"112, Miami, FL",TripAdvisor,"i, FL",False,
172,Burger King,http://www.tripadvisor.in/Restaurant_Review-g34438-d4416377-Reviews-Burger_King-Miami_Florida.html,"1,655 of 3,600",1.0,"16730 SW 88th St, Miami, FL 33196",TripAdvisor,33196,True,33196
173,TGI Friday's,http://www.tripadvisor.in/Restaurant_Review-g34438-d521844-Reviews-TGI_Friday_s-Miami_Florida.html,"654 of 3,600",30.0,"10603 NW 12th St # 180, Miami, FL 33172",TripAdvisor,33172,True,33172
174,Family Seafood Wholesale Inc,http://www.tripadvisor.in/Restaurant_Review-g34438-d4193408-Reviews-Family_Seafood_Wholesale_Inc-Miami_Florida.html,,,"7316 NE 2nd Ave, Miami, FL 33138",TripAdvisor,33138,True,33138
175,La Esquina Tropical,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207957-Reviews-La_Esquina_Tropical-Miami_Florida.html,,,"1060 SW 8th St, Miami, FL 33130",TripAdvisor,33130,True,33130
176,Gayous Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d4508965-Reviews-Gayous_Restaurant-Miami_Florida.html,,,"5734 NW 2nd Ave, Miami, FL 33127",TripAdvisor,33127,True,33127
177,Habano's Cafe,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182218-Reviews-Habano_s_Cafe-Miami_Florida.html,,,"9796 SW Coral Way, Miami, FL 33165",TripAdvisor,33165,True,33165
178,Sedici Cafe Grill Incorporated,http://www.tripadvisor.in/Restaurant_Review-g34438-d934426-Reviews-Sedici_Cafe_Grill_Incorporated-Miami_Florida.html,"697 of 3,600",11.0,"16 NE 3rd Ave, Miami, FL 33132-2512",TripAdvisor,-2512,False,33132
179,Latin America Corner Restaurant & Plaza,http://www.tripadvisor.in/Restaurant_Review-g34438-d3170018-Reviews-Latin_America_Corner_Restaurant_Plaza-Miami_Florida.html,"1,449 of 3,600",1.0,"2150 NW 17 Ave, Miami, FL",TripAdvisor,"i, FL",False,
180,Yogen Fruz,http://www.tripadvisor.in/Restaurant_Review-g34438-d4733136-Reviews-Yogen_Fruz-Miami_Florida.html,"1,513 of 3,600",2.0,"13520 SW 120th St, Miami, FL 33186",TripAdvisor,33186,True,33186
181,Porcao,http://www.tripadvisor.in/Restaurant_Review-g34438-d5420754-Reviews-Porcao-Miami_Florida.html,"1,359 of 3,600",8.0,"901 Brickell Plaza, Miami, FL 33130",TripAdvisor,33130,True,33130
182,Dunkin Donuts,http://www.tripadvisor.in/Restaurant_Review-g34438-d5096421-Reviews-Dunkin_Donuts-Miami_Florida.html,,,"8565 Coral Way, Ste 102, Miami, FL 33155",TripAdvisor,33155,True,33155
183,Su Shin Japanese,http://www.tripadvisor.in/Restaurant_Review-g34438-d4509118-Reviews-Su_Shin_Japanese-Miami_Florida.html,,,"10501 N Kendall Dr, Miami, FL 33176",TripAdvisor,33176,True,33176
184,Restaurante Monserrate,http://www.tripadvisor.in/Restaurant_Review-g34438-d910038-Reviews-Restaurante_Monserrate-Miami_Florida.html,"960 of 3,600",2.0,"435 SW 12TH Ave, Miami, FL 33130-2411",TripAdvisor,-2411,False,33130
185,Rusty Pelikan,http://www.tripadvisor.in/Restaurant_Review-g34438-d1736759-Reviews-Rusty_Pelikan-Miami_Florida.html,"267 of 3,600",28.0,"3201 rickenbacker causeway, virginia key, Miami, FL",TripAdvisor,"i, FL",False,
186,Black Bar LLC,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207955-Reviews-Black_Bar_LLC-Miami_Florida.html,,,"28 NE 14th St, Miami, FL 33132-1311",TripAdvisor,-1311,False,33132
187,Las Brumas Restaurant LLC,http://www.tripadvisor.in/Restaurant_Review-g34438-d936002-Reviews-Las_Brumas_Restaurant_LLC-Miami_Florida.html,,,"541 SW 12th Ave, Miami, FL 33130",TripAdvisor,33130,True,33130
188,Juice & Java Inc,http://www.tripadvisor.in/Restaurant_Review-g34438-d4562612-Reviews-Juice_Java_Inc-Miami_Florida.html,"1,048 of 3,600",2.0,"20335 Biscayne Blvd, Ste 26, Miami, FL 33180",TripAdvisor,33180,True,33180
189,The Sushi Bar,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207619-Reviews-The_Sushi_Bar-Miami_Florida.html,"1,187 of 3,600",2.0,"8748 SW 72nd St, Miami, FL 33173",TripAdvisor,33173,True,33173
190,El Cristo Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d910043-Reviews-El_Cristo_Restaurant-Miami_Florida.html,"59 of 3,600",116.0,"1543 SW 8th St, Miami, FL 33135-5218",TripAdvisor,-5218,False,33135
191,Great Kings Cafe & Sports Bar,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182342-Reviews-Great_Kings_Cafe_Sports_Bar-Miami_Florida.html,,,"13914 NW 7Ave, Miami, FL 33168",TripAdvisor,33168,True,33168
192,Mi Sabor Cafe,http://www.tripadvisor.in/Restaurant_Review-g34438-d4194031-Reviews-Mi_Sabor_Cafe-Miami_Florida.html,,,"4275 SW 73rd Ave, Miami, FL 33155",TripAdvisor,33155,True,33155
193,La Tienda A & A,http://www.tripadvisor.in/Restaurant_Review-g34438-d4199777-Reviews-La_Tienda_A_A-Miami_Florida.html,,,"799 SW 73rd Ct, Miami, FL 33144-2641",TripAdvisor,-2641,False,33144
194,Gallosos Cafe and Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207641-Reviews-Gallosos_Cafe_and_Restaurant-Miami_Florida.html,,,"16205 SW 117th Ave, Miami, FL 33177",TripAdvisor,33177,True,33177
195,La Tour Eiffel,http://www.tripadvisor.in/Restaurant_Review-g34438-d6028135-Reviews-La_Tour_Eiffel-Miami_Florida.html,"318 of 3,600",5.0,"7281 Biscayne Blvd, Miami, FL",TripAdvisor,"i, FL",False,
196,Delicias De Espana 3,http://www.tripadvisor.in/Restaurant_Review-g34438-d4194130-Reviews-Delicias_De_Espana_3-Miami_Florida.html,"1,538 of 3,600",3.0,"8950 SW 74th Ct, Miami, FL 33156-3171",TripAdvisor,-3171,False,33156
197,Burger King,http://www.tripadvisor.in/Restaurant_Review-g34438-d4182356-Reviews-Burger_King-Miami_Florida.html,,,"11650 SW 152nd St, Miami, FL 33157",TripAdvisor,33157,True,33157
198,Chinois Chinois,http://www.tripadvisor.in/Restaurant_Review-g34438-d4368608-Reviews-Chinois_Chinois-Miami_Florida.html,"423 of 3,600",7.0,"1777 SW 3rd Ave, Miami, FL 33129",TripAdvisor,33129,True,33129
199,Mojito Grill,http://www.tripadvisor.in/Restaurant_Review-g34438-d856164-Reviews-Mojito_Grill-Miami_Florida.html,"1,395 of 3,600",2.0,"7318 Red Rd., Miami, FL 33143",TripAdvisor,33143,True,33143
200,LongHorn Steakhouse,http://www.tripadvisor.in/Restaurant_Review-g34438-d1867194-Reviews-LongHorn_Steakhouse-Miami_Florida.html,"1,179 of 3,600",18.0,"15135 North Kendall Drive, Miami, FL 33196",TripAdvisor,33196,True,33196
201,Super Subs Etc.,http://www.tripadvisor.in/Restaurant_Review-g34438-d915191-Reviews-Super_Subs_Etc-Miami_Florida.html,"430 of 3,600",4.0,"6380 Bird Rd, Miami, FL 33155",TripAdvisor,33155,True,33155
202,Chez Bob Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d4204378-Reviews-Chez_Bob_Restaurant-Miami_Florida.html,,,"13970 W Dixie Hwy, Miami, FL 33161-3441",TripAdvisor,-3441,False,33161
203,Naty's Cafe,http://www.tripadvisor.in/Restaurant_Review-g34438-d4206063-Reviews-Naty_s_Cafe-Miami_Florida.html,,,"7805 Coral Way, Miami, FL 33155-6539",TripAdvisor,-6539,False,33155
204,Shorty's Bar-B-Q,http://www.tripadvisor.in/Restaurant_Review-g34438-d2183456-Reviews-Shorty_s_Bar_B_Q-Miami_Florida.html,"276 of 3,600",53.0,"2255 NW 87 Avenue, Miami, FL",TripAdvisor,"i, FL",False,
205,McDonald's,http://www.tripadvisor.in/Restaurant_Review-g34438-d4398958-Reviews-McDonald_s-Miami_Florida.html,"1,660 of 3,600",1.0,"2940 SW 8th St, Miami, FL 33135",TripAdvisor,33135,True,33135
206,Viceroy Miami at Icon Brickell,http://www.tripadvisor.in/Restaurant_Review-g34438-d1390740-Reviews-Viceroy_Miami_at_Icon_Brickell-Miami_Florida.html,"303 of 3,600",16.0,"485 Brickell Avenue, Miami, FL 33131",TripAdvisor,33131,True,33131
207,Rice & Beans Plus,http://www.tripadvisor.in/Restaurant_Review-g34438-d901799-Reviews-Rice_Beans_Plus-Miami_Florida.html,,,"7500 NW 25TH St Ste 103, Miami, FL 33122-1711",TripAdvisor,-1711,False,33122
208,The Village Cafe,http://www.tripadvisor.in/Restaurant_Review-g34438-d4846939-Reviews-The_Village_Cafe-Miami_Florida.html,,,"701 nw - 1ct - St G107, Miami, FL 33136",TripAdvisor,33136,True,33136
209,Cary's Caffe,http://www.tripadvisor.in/Restaurant_Review-g34438-d4515312-Reviews-Cary_s_Caffe-Miami_Florida.html,,,"11865 SW 26th St, Miami, FL 33175",TripAdvisor,33175,True,33175
210,Baja Ferries USA,http://www.tripadvisor.in/Restaurant_Review-g34438-d4207532-Reviews-Baja_Ferries_USA-Miami_Florida.html,,,"2601 S Bayshore Dr, Miami, FL 33133",TripAdvisor,33133,True,33133
211,Don Pan,http://www.tripadvisor.in/Restaurant_Review-g34438-d4826957-Reviews-Don_Pan-Miami_Florida.html,,,"590 NW 27th Ave, Miami, FL 33125",TripAdvisor,33125,True,33125
212,Koning Restaurants International Lc,http://www.tripadvisor.in/Restaurant_Review-g34438-d4199767-Reviews-Koning_Restaurants_International_Lc-Miami_Florida.html,,,"14433 Country Walk Dr, Miami, FL 33186",TripAdvisor,33186,True,33186
213,Lorena Garcia Cocina,http://www.tripadvisor.in/Restaurant_Review-g34438-d3340899-Reviews-Lorena_Garcia_Cocina-Miami_Florida.html,"1,535 of 3,600",2.0,"miami international airport, concourse D, Miami, FL",TripAdvisor,"i, FL",False,
214,Guayacan Restaurant,http://www.tripadvisor.in/Restaurant_Review-g34438-d484325-Reviews-Guayacan_Restaurant-Miami_Florida.html,"280 of 3,600",11.0,"1933 SW 8th St, Miami, FL 33135-3315",TripAdvisor,-3315,False,33135
215,Burger King,http://www.tripadvisor.in/Restaurant_Review-g34438-d4370992-Reviews-Burger_King-Miami_Florida.html,"1,311 of 3,600",1.0,"10 SW 8th St, Miami, FL 33130",TripAdvisor,33130,True,33130
216,Budare Bistro,http://www.tripadvisor.in/Restaurant_Review-g34438-d4562646-Reviews-Budare_Bistro-Miami_Florida.html,"1,529 of 3,600",3.0,"1830 SW 3rd Avenue, Miami, FL 33129",TripAdvisor,33129,True,33129
217,Pal Mar Cafeteria Inc,http://www.tripadvisor.in/Restaurant_Review-g34438-d4192775-Reviews-Pal_Mar_Cafeteria_Inc-Miami_Florida.html,,,"6927 NW 77th Ave, Miami, FL 33166",TripAdvisor,33166,True,33166
