restau_name,reviews,zip
WHISK Gourmet Food & Catering,"​Oh boy, what a great idea it was to have my brunch UYE in here with my friends.

I called a week before to make reservations and they treated very nice....",33143
WHISK Gourmet Food & Catering,Food is very good!  Parking can be a pain in the butt. No reservations and they are very busy. The only seat when all party is on premise. They have a nice...,33143
WHISK Gourmet Food & Catering,"I had a craving for fried chicken and Whisk was the first place that came to mind.

The restaurant is not huge so be aware there can be a wait and trouble...",33143
SUGARCANE Raw Bar Grill,"Great place!  Have been there for brunch and dinner.  Brunch was good, all small plates.  It's not a cheap place, but the drinks were good and it's got a...",33137
SUGARCANE Raw Bar Grill,Another 5 star experience. Happy hour is perfect time to try out many things on a budget! Highly recommend! I put the happy hour menus in the pictures!...,33137
SUGARCANE Raw Bar Grill,Love this trendy spot!!! We sat outside when we came and it was a cool Miami night. Service was great. They have tapas which just means small plates to...,33137
Bombay Darbar,"My boyfriend and I had dinner there last night 
Everything was absolutely delicious.
Service was excellent. The night was made very
Special by the whole...",33133
Bombay Darbar,We were late for our 830 reservation and they still went above and beyond to seat us quickly.  We were here to celebrate a friend's bachelorette weekend....,33133
Bombay Darbar,"I dream about this place. Whisper ""Bombay Darbar"" in my ear, and my mouth waters like Pavlov's dog. 

Been years since my last review, so here's an update....",33133
Fratelli Milano,I came here for a work lunch and I was told before that their pasta filled with Pear and Gorgonzola cheese was really good and since that is my favorite...,33131
Fratelli Milano,"Wow, this was a five star experience from start to finish. 

We were in this neighborhood for the first time while attending the Miami Book Fair.  I checked...",33131
Fratelli Milano,"Great assortment of breads.  Delicious pear-filled pasta.  Fantastic service.  Quaint, cozy atmosphere. And one of the best, creamiest creme brûlée I've...",33131
Perricone's Marketplace & Cafe,"5 stars for everything about this restaurant!
Beautiful Rustic decorations with string lights.
The restaurant has an outdoor feel with no roof on the top...",33131
Perricone's Marketplace & Cafe,Outstanding service at this restaurant they really have a passion for ensuring all their customers are satisfied. The food is really good it's a well known...,33131
Perricone's Marketplace & Cafe,"Beware - tip adjusted!!!

Called in before arrival around 8 on a Saturday night to ask if a reservation was needed. We were seated immediately and there was...",33131
Lokal,Lokal has become one of my favorite burger places in Miami through each and every visit.  The service has always been incredibly friendly and accommodating....,33133
Lokal,"Best burgers: YES
Awesome local craft brews: DEFINITELY
Dog friendly AND a dog menu: YEP
Cool restaurant AND outdoor seating: FOR SURE 
Great staff and...",33133
Lokal,Overall Meh. This is one of those places that you really hope you're going to enjoy but completely come out of it disappointed for the following...,33133
Michael's Genuine Food & Drink,"This place is amazing. If you're not looking for it, you'll walk by. It has a beautiful outdoor seating area and ample inside space for dining. 

We were...",33137
Michael's Genuine Food & Drink,I had been planning on taking my gf for our anniversary to your restaurant and made a reservation on OpenTable for 8:15 PM on Friday night. As I'm driving...,33137
Michael's Genuine Food & Drink,"When a friend of mine said Michael's was their favorite brunch spot, I figured he was just hyping it up- he definitely wasn't! I visited for the first time...",33137
Truluck's,"Truluck's is fine dining at it's best that Miami has to offer. 

My husband made a reservation for dinner on Sunday, March 18, for my birthday. For my...",33131
Truluck's,"So, I gave this place 3 stars but really in all honesty I would probably give it 3.5 if I could ...

I ordered the surf and turf. Food tasted good but I...",33131
Truluck's,I came here primarily to try their stone stone crabs to compare them to other places I have been to. Although I did order more items- I didn't have such a...,33131
Blue Collar,"If you haven't been here yet, what are you waiting for?! The wine all the way to the mint chocolate was perfect in every way. 

I have been wanting to try...",33138
Blue Collar,"I have this friend and she's always like, we have to go here, it's amazing, she was spot on!  This is one of those places you don't want to Yelp about and...",33138
Blue Collar,"Came here after a recommendation.  

Got here pretty early. 

We ordered an app and a fish dish.   It was a bit underwhelming.  

The seating was a bit...",33138
Cardon Y El Tirano,"Delicious Food. Great atmosphere and attentive staff.

Everything on the menu looks fantastic. We tried many of the plates and were very impressed. Hidden...",33135
Cardon Y El Tirano,This restaurant had great reviews and beautiful pictures on Yelp.  When we first pulled into the parking lot I wondered if I had made the wrong choice. But...,33135
Cardon Y El Tirano,"The most unexpected hidden gem. Cardon Y El Tirano is in a strip mall on Calle Ocho, but don't let that deter you, it is incredible! 

I have seen other...",33135
Tinta y Café,"We love it all here at Tinta y Café!!!
The atmosphere, service, the food, the coffee. Ahhh, the coffee. 
They are all always so attentive, friendly. We are...",33134
Tinta y Café,"So I'm doing some power walking down Ponce de Leon  And I see this funky looking building with a crowd of people, which I find it's a little cafe.  There...",33134
Tinta y Café,"Went here today for the first time and let me just say that I really enjoyed it. The decor and vibe is amazing, it almost feels as if you've stepped into a...",33134
Zuma,"Wow, this is a must stop if you are in Miami and would like to enjoy an incredible dining experience. The space and atmosphere is really enjoyable and the...",33131
Zuma,Zuma = WOW!  Fantastic place. The tuna sashimi literally melts in your mouth and I'd highly recommend it. I have no idea how they get it to melt like that...,33131
Zuma,Where do I even begin - I visited Zuma for a work conference where we had the private back room reserved for our group. Service was top-notch - glasses were...,33131
Tacos & Tattoos,"First time at this fantastic taco shop in Kendall, will absolutely be back! We were able to get a table for 2 pretty much instantly but it was definitely...",33176
Tacos & Tattoos,"Yummm! 
I checked out this little place for Cinco de Mayo and was not disappointed. The atmosphere was really hip, and even though the location was small,...",33176
Tacos & Tattoos,"I don't know what the hype is about.  

I gathered some friends and we headed to this spot. Finally! I had it bookmarked for a while. 

Service: awesome....",33176
Greenstreet Cafe,"I came here with some friends on the last day of our trip to Miami looking for a memorable brunch and Greenstreet did not disappoint! The food was hearty,...",33133
Greenstreet Cafe,"Great atmosphere and service is always consistent. I have been here numerous times with friends, family and also alone with my dog. The food is average....",33133
Greenstreet Cafe,Had Sunday brunch at Greenstreet Cafe. While waiting for a table ordered a Strawberry Basil Lemonade to beat the heat. When seated we shared the Spinach &...,33133
specialTEA Lounge,So glad I decided to come here last night! My boyfriend and I were starving around 11 pm and through Yelp found that this coffee shop was open that I had...,33165
specialTEA Lounge,Great place to get some coffee and chat with friends! My friend from FIU recommended this place for coffee since we were in the area so I stopped by....,33165
specialTEA Lounge,"I ordered a takeout order through Yelp for a matcha blended drink, a caramel latte & a double chocolate chip cookie. This place had so many good reviews and...",33165
Osteria Vecchio Piemonte,"I've been dying to come to this restaurant for month. 
Oh my god! Words cannot describe the joy my palate experienced. By far the best hidden Italian jewel...",33173
Osteria Vecchio Piemonte,"Nice little hole in the wall. The food is great and the service is also five star.

We will definitely come back. Let's see how good the service is when I...",33173
Osteria Vecchio Piemonte,"After an extensive research for restaurants to celebrate my birthday, decided to stay around the neighborhood and go to Osteria. I've had this restaurant...",33173
Doce Provisions,I stopped by Doce on a Sunday afternoon and was extremely satisfied with the food and service. It was nice out so we decided to sit outside and thankfully...,33130
Doce Provisions,"Great spot to go and share plates! A lot of good things on the menu

My favorite is the short rib tacos and the shrimp po boy tacos! 

La Rubia on draft is...",33130
Doce Provisions,"Food wasn't as great as other reviewers had mentioned - perhaps I came on an off day, there seems to be a quality control issue.

Crispy Brussels - Took a...",33130
KYU,"It's such a happening spot in this artsy Wynwood District. Fairly new, just opened in November 2017, you need a reservation for weekend or even week night....",33127
KYU,"This place is delicious! The rice that comes on a stone it's beyond good... you have to try it! 

Service is ok... a little slow sometimes. If you are...",33127
KYU,"We visited KYU on a Saturday night with no reservation, and not expecting to get one, but we figured why not let's try. We were able to put in our name and...",33127
Lagniappe,"I absolutely loooved this place! We came on a really crowded Saturday night and had a great time. The backyard area is huuuuge and definitely fills up. 
The...",33137
Lagniappe,"Although I love the concept, and the jazz bands that play here, I think they could keep this place much cleaner and organized. There are lots of chairs in...",33137
Lagniappe,"This is a really nice spot I frequently came to when I was still living in design district.
They have amazing live bands. Like, Where else in Miami would I...",33137
Beaker & Gray,"Hmm where should I start?..
A friend of mine recommended this place so I decided to give it a shot.
Wasn't really hungry, it was around 11pm and just felt...",33127
Beaker & Gray,"I've come for brunch here twice now and have had great experiences. The first time, our waitress was Julisse and she was so great. She gave us a rundown of...",33127
Beaker & Gray,"$7 top shelf cocktails, $5 craft beers, wonderful and friendly staff

Ambiance galore with an eclectic and diverse food menu

Looking forward to a second trip",33127
Fireman Derek's Bake Shop & Cafe,I must preface that I am not a fan of sweets. There are few exceptions and Key Lime Pie is one of them. Being that my wife and I were traveling through...,33127
Fireman Derek's Bake Shop & Cafe,"Very very very good first experience here at Fireman Derek's. 
As soon as I walked in I realized how cute of a place it was. It looked just like a...",33127
Fireman Derek's Bake Shop & Cafe,"I knew I had I had to search for some great dessert in Miami and this place is one of the hot spots. Aside from the donuts, I had to get my hands on some...",33127
Lung Yai Thai Tapas,"The food was EXCELLENT! The staff was FABULOUS! 

It's worth the drive and if you get there late the wait!

I strongly recommend eating here",33135
Lung Yai Thai Tapas,The BEST Thai Restaurant in town. Extremely authentic and flavorful plates. Heed the warning and try to make it here early as this place really gets...,33135
Lung Yai Thai Tapas,"My boyfriend and I split the dumplings- bomb. I had the green curry- delicious. We got in super quick, service was great. The place smelled kind of foul,...",33135
Doggi's Arepa Bar,"BEST AREPAS in Miami! I'm a regular here. As a matter of fact, it's hard for me to stay away and have to limit my visits. I've tried most of the menu by now...",33145
Doggi's Arepa Bar,Came here pretty early for breakfast and that was our mistake. The food was good but it was way too heavy for us to consume for breakfast. I'd likely come...,33145
Doggi's Arepa Bar,"Not going to lie, I was not that excited when my friends wanted to eat here, but I ate my words and negative feelings real quick. My friend told me they had...",33145
Mandolin Aegean Bistro,"Staff very attentive and food really good.
If you get there around 7pm there's a chance for a quick table even if you don't have a reservation, although I...",33137
Mandolin Aegean Bistro,"Love this place. Great ambiance and delicious food. Spicy lamb sandwich on the lunch menu- amazing. 

Do you prefer the expression spaghetti and meatball?",33137
Mandolin Aegean Bistro,"How did I not know about this place earlier! What a gem.

First of all, the Ambience....SO romantic if you sit outside. Unfortunately we were a walk in, so...",33137
Fratellino,"It took me a while to write this review but here it is: 

You haaaave to visit Fratellino at LEAST once in your lifetime.
Where do I start? The service was...",33134
Fratellino,"My husband and I chose this place to celebrate our wedding anniversary after reading all the outstanding reviews on Yelp. Well, we loved the experience so...",33134
Fratellino,"Fratellino has ruined me, because now I only want to eat there.

I'm a carboholic. The best meal in the word, to me, would contain carbs. But, my body loves...",33134
The Spillover,This is the cutest insta-worthy restaurant in Coco Walk with their catchy entrance quote and neon sign exit. It's got beautiful outside seating beside the...,33133
The Spillover,"Well.... what can I say 

This place is for people that either where EX hippies or just came from rehab as previous bums. 

 About the food, it's was OK....",33133
The Spillover,"Amazing.... simply amazing.
Always a good time when I go. The atmosphere is always relaxing and the food is always superb.
Always try to get there early so...",33133
Roots Juicebar,"*Story Time* 
It's Saturday. You finished the dreaded Pilates class your friend has been trying to drag you to since January (new year, same me?). You're...",33183
Roots Juicebar,"Overrated and bland. My friend and I came here yesterday, I had the fajita bowl and she had the lentil bowl. The wild rice was a bit dry, the mushrooms were...",33183
Roots Juicebar,"Whenever I'm in town, I like to come here! The atmosphere is really cute with greenery, books and cute decor. They have outdoor seating as well as indoor...",33183
Red Carpet Italian,AMAZING little gem! Casual-ly but 5 star food. My dad and I were in town shopping and being Italian he was craving... get this... Italian  searched yelp and...,33135
Red Carpet Italian,Hidden little Gem in the heart of Little Havana. My Boyfriend and I visited this restaurant over the weekend for dinner. We made reservations for 2 on yelp...,33135
Red Carpet Italian,My daughter ate here last week and we decided on her recomendación to make it the place for our Easter lunch. If you look through my reviews you will find...,33135
Toro Toro Restaurant,"This was my first time at Toro Toro and I absolutely enjoyed everything I tried there. For appetizers, I got the Grilled Octopus and it was the best octopus...",33131
Toro Toro Restaurant,OMG what an amazing experience. We came for the Saturday Mexican buffet special. Now don't get me wrong I'm NOT a fan of buffet...but the ToroToro Saturday...,33131
Toro Toro Restaurant,"This is one of the very few times I have felt that 5 stars are not adequate enough to describe such an extraordinary restaurant, so I will rate them at a...",33131
La Camaronera Seafood Joint & Fish Market,"I saw a clip of this restaurant on one of the food channels. I saw it was pretty close to my barbershop so I told my self, ""Let me go get a haircut, and get...",33135
La Camaronera Seafood Joint & Fish Market,"Excellent...good food, casual ambiance, great service. Had been meaning to come here for months and finally did when I dropped off my car to get washed...",33135
La Camaronera Seafood Joint & Fish Market,La Camaronera Seafood Joint & Fish Market is one of those signature Miami hole-in-the-wall restaurants off of West Flagler Street that you just can't help...,33135
Vegan & Juice,Who knew vegan food could be so yummy? With generous portion sizes for only $8 you can get 1 meal that will last you for lunch and dinner. Better than any...,33174
Vegan & Juice,I am in no way a vegan but if all vegan food tasted like this I could be. This place is so bomb. I decided to try it because it is close to my job and the...,33174
Vegan & Juice,"What's not to love about this place!? It's run by a very nice Dominican family so you know the food is bomb. Everything from their juices, smoothies, wraps,...",33174
Jaguar Ceviche Spoon Bar,"Jaguar has a very intimate setting inside. A lot of dim lighting, and exotic/tropical decor. My boyfriend and I dined in for dinner last night and we loved...",33133
Jaguar Ceviche Spoon Bar,"It's extremely rare that I give 5 stars however this place was worth it. The servers were very friendly, the menu wasn't over loaded but still gave you...",33133
Jaguar Ceviche Spoon Bar,"Solid Pan-Latin restaurant in Coconut Grove.  They don't necessarily have an extensive menu, but their food is pretty flavorful.

The highlight of the...",33133
Mignonette,We arrived late with no reservation. Concerned that the staff would be upset at our arrival we asked if it was still ok to sit at the bar. We were welcomed...,33132
Mignonette,I've wanted to try this place for a while now. I know that they are known for their oysters though I unfortunately did not get the chance to try their...,33132
Mignonette,"We had such a delightful dinner here during our baby free weekend getaway. I'm glad we made reservations because it was very busy on a Saturday, in an odd...",33132
Bunbury,"This was our first dinner in Miami, and I'm so happy that one of my clients recommended this place to me. Stunning atmosphere, very fitting of Wynwood. I...",33137
Bunbury,Came a few weeks ago on a Saturday evening. We made reservations after reading many reviews. They open at 7pm and we were one of the first few people there...,33137
Bunbury,"What an amazing experience from top to bottom!! *Insert drooly, heart eyes emojis*

The ambiance is very sexy. Dimly lit, with just the sounds of indistinct...",33137
Vero,"Loved this place! Great romantic Italian restaurant in Downtown Miami! 

I came here the other night on a date and we had an amazing time. 
We ordered the...",33131
Vero,"Good food, great service, and reasonable prices.

I came here during my visit to Miami and as a good Yelper, obviously I wanted to try something local My...",33131
Vero,Stopped by after the Miami Street Photography Festival at the HistoryMiami Museum a few blocks away. This is truly a gem in downtown Miami and close to make...,33131
El Palacio De Los Jugos,"From all the choices, the portions, the service, everything was soooooo good! 
We had Lechon Asado with congri, and plantains.... yummyyyyyyy 
Also the...",33144
El Palacio De Los Jugos,"My first stop EVERY TIME I head to FL to see my kid.  Their juices are beyond amazing - my favorite is the mora (blackberry) - if sweet, rich blackberry jam...",33144
El Palacio De Los Jugos,"If you want to experience the flavors of Miami in one stop, look no further than El Palacio De Los Jugos.

Yes, they were widely renowned for their...",33144
Pizza Johny's,"Walked into the place and thought I was in Brooklyn!
From the Pizza guy tossing a large pie over his head
to the yells of ""Hello"" and ""How ya Doing"" from...",33173
Pizza Johny's,Was in Kendall and decided to branch out from the usual spots I get pizza from in that area.  Good old Yelp gave me some good feedback about this place to...,33173
Pizza Johny's,"This place is awesome, Johnny himself attends to you and treats his customers and staff  like family. 

Their chicken wings are AMAZING, and their NY style...",33173
SuViche - Wynwood,"Best happy hour in Miami.
We came and we ate everything!
Every single dish we had was incredible!
$4 Sake, $5 mixed drinks and $6 dishes of amazing Peruvian...",33127
SuViche - Wynwood,"This just became one of my favorite spots for a ceviche bowl. Its really tough to get portion size, flavor, AND price point all in one place. SuViche does...",33127
SuViche - Wynwood,You're better off finding another restaurant in Wynwood. SuViche did not leave any impression on me whatsoever. I dined here for a friend's birthday party...,33127
Mojo Donuts & Fried Chicken,"Where do I start? 

Ummmm delicious! 

The minute I walk in I go straight for the Oreo Glazed Donut. The fluffiness of the doughnut just melts in my mouth!...",33165
Mojo Donuts & Fried Chicken,"Hands down best donuts I had in a while 
Delish!!!
This place will become a problem for my waistline",33165
Mojo Donuts & Fried Chicken,"Its hard not to see all sorts of beautiful and tempting donuts when you go on Instagram and happen to like one donut picture, lol!

But, it seems I am never...",33165
NIU Kitchen,"One of the best and most generous grilled whole squid servings I've ever had. 

Friendly staff, quaint setting, nice for an intimate date to flavor town.",33132
NIU Kitchen,"Enjoyed a delicious meal at NIU Kitchen on Thursday evening. Ordered a nice bottle of Spanish wine to go with our meal of Llamantol, Steak Tartare,...",33132
NIU Kitchen,"Tiny, but cozy. Dark, but intimate. Small menu, but delicious. Interesting decor, esp the books on the ceiling. Staff was great and accommodating for our...",33132
Mi Rinconcito Mexicano,"Great place! The kitchen pumps out food at the speed of light.

I was seated right away and given their salsa chips. The hips are fried on site and they're...",33135
Mi Rinconcito Mexicano,"Ay mi rinconcito mexicano! I will rate this place a 10 *star*! 

I got introduced to this hidden little place by Little Havana. I came with some colleagues...",33135
Mi Rinconcito Mexicano,"Great authentic Mexican food, nicely decorated restaurant I love the piñatas hanging all over, the marichis hats.
Notice that this is not a fancy place but...",33135
Peacock Garden Cafe,Tucked away in a lush garden is this picturesque and charming cafe. We visited on a Saturday around 10am for breakfast and it was quiet -- only one other...,33133
Peacock Garden Cafe,"The captain of the bay cruise we chartered recommended we eat here after our sunset cruise. Seeing so many positive reviews, it seemed like a safe bet. I...",33133
Peacock Garden Cafe,Spring break staycation had begun for us teachers and counselor (me) came for brunch and was sad that they only serve brunch on weekends- no biggie will...,33133
The Capital Grille,"Definitely this a date or celebration of a special event place. The costumers are dressed upscale which matches the place, it's ambiance, and everyone...",33131
The Capital Grille,"Anniversary diner . Can't go wrong . Good food, service and ambiance . 
Nice touch of a rose and anniversary card at the table waiting for us !
Anna got the...",33131
The Capital Grille,"The Capital Grille is definitely what comes to mind when I think of a very upscale, nighttime, candlelit and mahogany decor restaurant. The ambiance is very...",33131
The River Seafood & Oyster Bar,"Hey, are you free 4-7? Whenever this week. 

I know this really cool place that has oysters and they're awesome. Wanna come? 

This is a such a golden token...",33130
The River Seafood & Oyster Bar,"My review is going to be real simple. I came here on a Tuesday night to get strictly oysters...
Just don't come. They were the size of my pinky for $3...",33130
The River Seafood & Oyster Bar,"I'm not really big fan of oysters, but I enjoyed it here.
What I really liked in River - snapper tartar. It was very tasty. 
And the bill wasn't too big for...",33130
NAOE,We had a wonderful meal under the watchful eye of Chef Kevin Cory and his lovely staff.  We were lucky enough to be seated at the bar and were able to...,33131
NAOE,"1 to 10

FOOD : 9, authentic Japanese cuisine, everything is so fresh and tastes so good, if you're in Miami, I highly recommend it! Fav thing: the Japanese...",33131
NAOE,"Second time around and NAOE still lives up to its high standards. 

I went to NAOE with my husband for a romantic gourmet night out. Just like my last...",33131
Crazy About You,"The Bottom Line: A great restaurant with good food, good service, and a good view that manages to be more than the sum of its parts.

Try:
Skinny...",33131
Crazy About You,"So I gave this place a second chance, and it was well worth it! My first time dining here was for an agency Christmas lunch. The service was horrible, and...",33131
Crazy About You,"Loved everything about this place!!
The decor, ambience, the smell even!!
Every entree comes with an appetizer, how awesome is that?!
Frozen Rosé too!

This...",33131
The Big Cheese Of Miami,The Big Cheese is like a South Miami past time! I have been coming here probably before I was born. My family and I love this restaurant and it's...,33143
The Big Cheese Of Miami,"TLDR - ""The Big Cheese"" will leave you feeling very big and very cheesy when you're done. Essentially, you'll feel like a fat lard who doesn't deserve to...",33143
The Big Cheese Of Miami,Came in with the fam for a quick dinner. We ordered sodas and beers to start off and 9 garlic rolls. Our waiter was very nice and advised us that one XL...,33143
Prohibition Restaurant and Speakeasy,"Prohibition is a fantastic speakeasy in the heart of Midtown- if you're ever in town, it's one you can't miss. From the moment you walk in you will already...",33127
Prohibition Restaurant and Speakeasy,"Looking for music we came here from google reviews for a birthday party on the 28th of March 
We have the best music most amazing food and top notch service...",33127
Prohibition Restaurant and Speakeasy,Came here one night with the gf to celebrate a birthday. We saw that there was a bit of wait so we ended up sitting at the bar for a few drinks and just...,33127
Wynwood Kitchen & Bar,"Great selection of food and a fantastic ambience. The outdoors is definitely better than the indoors. It gets very crowded and noisy, the music helps to...",33127
Wynwood Kitchen & Bar,"Even the names are artsy.

What did I get
2 Skirt steak skewers and a cauliflower bowl. The skirt steak was nice and tender. Not too hard and not too soft....",33127
Wynwood Kitchen & Bar,Place is eclectic with aritos paintings in the wall and decorating the windows. Guacamole and chips along with the ropa vieja empanadas was delicious but...,33127
Ball & Chain,"Live music, great drinks, good service. 
Really nothing to complain. 
The canita drink was the best, but their classic mojito was pretty decent as well....",33135
Ball & Chain,REALLY hate to be this guy with this being such a historic place ... but walked in at 10 pm on a Tuesday ordered 2 beers and was charged a gratuity of $2.10...,33135
Ball & Chain,I've been here a few times and it's always a good vibe. The live music is great. We opted to sit outside in the chairs. They have a daily happy hour 4-7pm....,33135
Taqueria Viva México,"Que rico! It's a very authentic Mexican place. Their tacos are to die for.

If you are afraid of tripa, tongue, or pig skin, ears and such, maybe your...",33130
Taqueria Viva México,"Good food, family oriented restaurant.
I would recommend this restaurant any day!
The guac and tacos are amazing)))))",33130
Taqueria Viva México,"It's never good to be hangry, but my tummy was yelling at me and needed food asap. After a long day on the salon chair I could've probably eaten ANYTHING at...",33130
Andiamo,this place is good! I've tried all the other pizzas in the area and I don't know why I wasted all that time and money. This is the only place I go to now....,33137
Andiamo,"This is a very good place to have a great pizza! My favorite is margarita with pepperoni, mushrooms, green peppers and black olives. Wow! Amazing taste and...",33137
Andiamo,I would give them no stars if i could!!! Sat there for 10 mins!! No one came to the table!! No one even recognized me... Guess they dont want my money......,33137
Morgan's Restaurant,"If you love a good breakfast burrito, TRY MORGAN'S!! Coming from TX, I'm obsessed with all types of burritos and this one surely delivers. The filling has...",33137
Morgan's Restaurant,My friend recommended this place while I was staying in Miami. We went there around 1-2pm on Sunday and it was really crowded - No parking space in the...,33137
Morgan's Restaurant,Honestly without words from the service here. I came with my family which only speak Spanish and we got Zoltan as a server. Let me prefix that Zoltan...,33137
della bowls,"I've been there twice and would come back again! It's great for vegans and vegetarians! Food is delicious, one of my favorite bowls is the Caribbean. You...",33127
della bowls,"My New ""To-Go"" Place.

I first experienced Della by ordering online, and I loved the experience.  But I was not ready to commit to writing a review until I...",33127
della bowls,"Love this place the peanutbutter cup and build your own bowl amazing!!!! I dream of the vegan peanutbutter cup 

Always such sweet and nice service  nice",33127
Mister 01- Brickell,"Review on take out only-

Ordering on the phone was a breeze.  They seemed really busy so they weren't super friendly but they weren't rude either.

The...",33131
Mister 01- Brickell,"Stopped into Mister 01-Brickell for dinner on Sunday night. Started the meal with an order of Burrata, then split the Coffee Paolo Pizza and the Claudio...",33131
Mister 01- Brickell,"I'm from NY so your pizza better be slammin'... and it was!! I've been in Miami about 8 months and this is the only pizza I've really had, but more than...",33131
Coyo Taco,Located right next to Wynwood Walls. This place gets packed! Great place for a casual/fast meal in between exploring Wynwood. Panther Coffee is also right...,33127
Coyo Taco,"Cute little taco chain near the Wynwood Walls with a decent amount of outdoor and indoor seating. 

The tacos are very small so if you're hungry, you will...",33127
Coyo Taco,"Main reason I keep coming back ..elotes! First time I tried this and it's something very simple yet so perfect! 

The service is quick, food is great and...",33127
Jacalito Taqueria Mexicana,A coworker of mine and I were discussing our favorite types of food and we both agreed that Mexican cuisine is at the top of both of our lists. We then went...,33135
Jacalito Taqueria Mexicana,"I've eaten here many times and have also ordered for takeout. The food is generally good, but the employees' reasoning skills are subpar. I was ordering a...",33135
Jacalito Taqueria Mexicana,"As hard as it is to find a real good mexican place in Miami, this place actually surpassed my expectations. It is a little hard to find since it kind of...",33135
Kon Chau Restaurant,"BEST DIM SUM IN MIAMI!!

Affordable and friendly service! A must visit!

I like the fried shrimp dim sum and ginger fish.",33155
Kon Chau Restaurant,So many great things to say about this place! This is hands down the #1 Chinese restaurant in Miami. You cannot go wrong with whatever you order on the menu...,33155
Kon Chau Restaurant,"Been here several times, just for dim sum. I always order turnip or taro cakes, vegetarian lotus sticky rice and everything else depends on what I'm in the...",33155
Cream Parlor,"What!!! Omg!!! I found my little cute wonderland, it actually exist!!! Ok so I fell down the rabbit hole , I mean when I went through the door I just...",33138
Cream Parlor,"place is cute, however, the food takes kinda long to come out. 
Doesn't make sense since nothing from our order was being cooked. 
When we said we were in a...",33138
Cream Parlor,"Ice cream was melted, small variety of flavors 

Parking was bad could barely get in or out",33138
Zak The Baker,"This family-owned Bakery is as good as it gets! My wife Anita and I just love Leslie and Harvey, what beautiful people, and we wish their son's (Zak The...",33127
Zak The Baker,Zak the Baker I love you. The cinnamon babka easily changed my life as the best treat I have ever had and hands down the best babka in Miami because of the...,33127
Zak The Baker,I don't think there's anything that Zak The Baker can do wrong. This establishment is great and even has space for the food tours. When I came in with a...,33127
Swine Southern Table & Bar,"Came in one day to eat at this lovely establishment and Charles was actually one of the greatest team members I ever witnessed. He is so passionate, caring,...",33134
Swine Southern Table & Bar,if i had no star Id leave none. i was looking forard to meet & ribs but didnt happen.  reserved on open table requested with booth or high top .  Upon...,33134
Swine Southern Table & Bar,"Ah.... No! If you are looking for Texas style smoked brisket this is not the place, sorry Swine. The restaurant is cute and all but the brisket was lacking....",33134
Diced,All I can say is that the food is amazing! The bowls are delicious and all the ingredients are fresh.  My favorite source was the Garlic Pesto Cilantro!...,33155
Diced,First time! Needed a low carb and health option. Got the chicken salad with everything except cheese or sauces. Nice big size enough for 2 meals. Everything...,33155
Diced,"Pros: I am so glad to have found a fresh eatery with healthy options in this area. I had the tuna bowl with brown rice, all the beans, all the veggies, and...",33155
El Mago De Las Fritas,"I'm so glad this was our first meal in Miami from New York! We had to try the ""fritas"" which was delicious, super inexpensive, and perfect for lunch!
They...",33144
El Mago De Las Fritas,Wifey and I had some time before our flight out and stopped in for lunch. I was just looking for the stereotypical Cuban sandwich. All I can say is AMAZING!...,33144
El Mago De Las Fritas,"I'd never had a ""frita"" until someone brought some to work and they were from this place. I'm so thankful these were my first fritas because others won't be...",33144
